# GNUBANDS: Utility for SIESTA to transform bands output into Gnuplot format
#
#                                                  Emilio Artacho, Feb. 1999
# --------------------------------------------------------------------------
# E_F               =    -5.0827
# k_min, k_max      =     0.0000    3.0152
# E_min, E_max      =   -24.5202  175.4172
# Nbands, Nspin, Nk =     52     1   506
#
#        k            E
# --------------------------------------------------------------------------
      2.017866    -18.336200
      2.023839    -18.301600
      2.029812    -18.266400
      2.035784    -18.230600
      2.041757    -18.194300
      2.047730    -18.157300
      2.053703    -18.119800
      2.059675    -18.081800
      2.065648    -18.043100
      2.071621    -18.003900
      2.077594    -17.964100
      2.083566    -17.923700
      2.089539    -17.882800
      2.095512    -17.841300
      2.101485    -17.799200
      2.107457    -17.756600
      2.113430    -17.713400
      2.119403    -17.673500
      2.125375    -17.714700
      2.131346    -17.764400
      2.137318    -17.817500
      2.143290    -17.873700
      2.149261    -17.932900
      2.155233    -17.994500
      2.161205    -18.058300
      2.167176    -18.124100
      2.173148    -18.191700
      2.179120    -18.260700
      2.185091    -18.330900
      2.191063    -18.402300
      2.197035    -18.474600
      2.203006    -18.547600
      2.208978    -18.621300
      2.214950    -18.695600
      2.220921    -18.770200
      2.226893    -18.845200
      2.232865    -18.920500
      2.238836    -18.995900
      2.244808    -19.071400
      2.250780    -19.147000
      2.256751    -19.222600
      2.262723    -19.298100
      2.268695    -19.373500
      2.274666    -19.448800
      2.280638    -19.523900
      2.286610    -19.598800
      2.292581    -19.673400
      2.298553    -19.747800
      2.304525    -19.821900
      2.310496    -19.895700
      2.316468    -19.969200
      2.322440    -20.042300
      2.328411    -20.115000
      2.334383    -20.187400
      2.340355    -20.259300
      2.346326    -20.330800
      2.352298    -20.401900
      2.358270    -20.472500
      2.364241    -20.542700
      2.370213    -20.612400
      2.376185    -20.681600
      2.382156    -20.750400
      2.388128    -20.818600
      2.394100    -20.886400
      2.400071    -20.953600
      2.406043    -21.020300
      2.412015    -21.086500
      2.417986    -21.152200
      2.423958    -21.217300
      2.429930    -21.281800
      2.435902    -21.345800
      2.441873    -21.409300
      2.447845    -21.472200
      2.453817    -21.534500
      2.459788    -21.596200
      2.465760    -21.657400
      2.471732    -21.718000
      2.477703    -21.778000
      2.483675    -21.837400
      2.489647    -21.896200
      2.495618    -21.954500
      2.501590    -22.012100
      2.507562    -22.069100
      2.513533    -22.125500
      2.519505    -22.181300
      2.525477    -22.236500
      2.531448    -22.291100
      2.537420    -22.345000
      2.543392    -22.398400
      2.549363    -22.451100
      2.555335    -22.503200
      2.561307    -22.554600
      2.567278    -22.604600
      2.573250    -22.582000
      2.579222    -22.555800
      2.585193    -22.528900
      2.591165    -22.501300
      2.597137    -22.473100
      2.603108    -22.444200
      2.609080    -22.414700
      2.615052    -22.384500
      2.621023    -22.353700
      2.626995    -22.322100
      2.632967    -22.290000
      2.638938    -22.257200
      2.644910    -22.223700
      2.650882    -22.189600
      2.656853    -22.154800
      2.662825    -22.119400
      2.668797    -22.083400
      2.674768    -22.046700
      2.680740    -22.009300
      2.686712    -21.971300
      2.692683    -21.932700
      2.698655    -21.893500
      2.704627    -21.853600
      2.710598    -21.813100
      2.716570    -21.771900
      2.722542    -21.730200
      2.728513    -21.687800
      2.734485    -21.644700
      2.740457    -21.601100
      2.746428    -21.556800
      2.752400    -21.512000
      2.758372    -21.466500
      2.764343    -21.420400
      2.770315    -21.373800
      2.776287    -21.326500
      2.782258    -21.278600
      2.788230    -21.230200
      2.794202    -21.181100
      2.800173    -21.131500
      2.806145    -21.081300
      2.812117    -21.030600
      2.818088    -20.979300
      2.824060    -20.927400
      2.830032    -20.875100
      2.836003    -20.822200
      2.841975    -20.768700
      2.847947    -20.714800
      2.853918    -20.660400
      2.859890    -20.605500
      2.865862    -20.550200
      2.871833    -20.494400
      2.877805    -20.438300
      2.883777    -20.381700
      2.889749    -20.324800
      2.895720    -20.267600
      2.901692    -20.210200
      2.907664    -20.152500
      2.913635    -20.094700
      2.919607    -20.036900
      2.925579    -19.979000
      2.931550    -19.921300
      2.937522    -19.863900
      2.943494    -19.806900
      2.949465    -19.750600
      2.955437    -19.695300
      2.961409    -19.641200
      2.967380    -19.588900
      2.973352    -19.538900
      2.979324    -19.492000
      2.985295    -19.448900
      2.991267    -19.411000
      2.997239    -19.379300
      3.003210    -19.355300
      3.009182    -19.340300
      3.015154    -19.335200


      0.000000    -17.668800
      0.005972    -17.629100
      0.011943    -17.584200
      0.017915    -17.538800
      0.023887    -17.492800
      0.029858    -17.446300
      0.035830    -17.399100
      0.041802    -17.351400
      0.047773    -17.303200
      0.053745    -17.254300
      0.059717    -17.205000
      0.065688    -17.155000
      0.071660    -17.104500
      0.077632    -17.053400
      0.083603    -17.001800
      0.089575    -16.949600
      0.095547    -16.896800
      0.101518    -16.843500
      0.107490    -16.789600
      0.113462    -16.735200
      0.119433    -16.680200
      0.125405    -16.624600
      0.131377    -16.568500
      0.137348    -16.511900
      0.143320    -16.454700
      0.149292    -16.396900
      0.155263    -16.338600
      0.161235    -16.279800
      0.167207    -16.220400
      0.173178    -16.160500
      0.179150    -16.100000
      0.185122    -16.039000
      0.191093    -15.977500
      0.197065    -15.915400
      0.203037    -15.852800
      0.209008    -15.789700
      0.214980    -15.726000
      0.220952    -15.661900
      0.226923    -15.597200
      0.232895    -15.532000
      0.238867    -15.466300
      0.244839    -15.400100
      0.250810    -15.333400
      0.256782    -15.266200
      0.262754    -15.198500
      0.268725    -15.130300
      0.274697    -15.061600
      0.280669    -14.992500
      0.286640    -14.922800
      0.292612    -14.852700
      0.298584    -14.782200
      0.304555    -14.711100
      0.310527    -14.639600
      0.316499    -14.567700
      0.322470    -14.495300
      0.328442    -14.422500
      0.334414    -14.349300
      0.340385    -14.275600
      0.346357    -14.201500
      0.352329    -14.127000
      0.358300    -14.052100
      0.364272    -13.976800
      0.370244    -13.901100
      0.376215    -13.825000
      0.382187    -13.748500
      0.388159    -13.671700
      0.394130    -13.594600
      0.400102    -13.517100
      0.406074    -13.439200
      0.412045    -13.361000
      0.418017    -13.282500
      0.423989    -13.203700
      0.429960    -13.124600
      0.435932    -13.045300
      0.441904    -12.965600
      0.447875    -12.886100
      0.453847    -12.923900
      0.459819    -12.969100
      0.465790    -13.017900
      0.471762    -13.070100
      0.477734    -13.125600
      0.483705    -13.184200
      0.489677    -13.245800
      0.495649    -13.310100
      0.501620    -13.377100
      0.507592    -13.446300
      0.513564    -13.517700
      0.519535    -13.591100
      0.525507    -13.666200
      0.531479    -13.742900
      0.537450    -13.821100
      0.543422    -13.900500
      0.549394    -13.981100
      0.555365    -14.062800
      0.561337    -14.145300
      0.567309    -14.228600
